,producto,subtipo,tipo_comercial,mercado,mes,semana,precio_max,precio_min
1,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,mayo,Semana+22,"0,33 ","0,30"
2,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,mayo,Semana+22,"0,31 ","0,21"
3,01 Cítricos,Naranjas Blancas,Valencia Late,Lonja de Valencia,mayo,Semana+22,"0,30 ","0,21"
4,01 Cítricos,Limón Verna,Limón Verna,Alicante,mayo,Semana+22,"1,00 ","0,90"
5,02 Frutales,Albaricoque,Albaricoque Galta roja,Valencia,mayo,Semana+22,"0,63 ","0,59"
6,02 Frutales,Albaricoque,Albaricoque Temprano,Valencia,mayo,Semana+22,"0,89 ","0,60"
7,02 Frutales,Cereza,Cereza Burlat,Alicante,mayo,Semana+22,"1,81 ","1,64"
8,02 Frutales,Cereza,Cereza Starking,Alicante,mayo,Semana+22,"1,99 ","1,77"
9,02 Frutales,Higo,Higo breva,Alicante,mayo,Semana+22,"4,02 ","2,65"
10,02 Frutales,Melocotón,Melocotón extratemprano,Valencia,mayo,Semana+22,"1,43 ","0,65"
11,02 Frutales,Melocotón,Melocotón Paraguayo,Valencia,mayo,Semana+22,"1,03 ","0,52"
12,02 Frutales,Melocotón,Melocotón temprano,Valencia,mayo,Semana+22,"1,45 ","0,77"
13,02 Frutales,Nectarina,Nectarina amarilla,Valencia,mayo,Semana+22,"1,44 ","0,70"
14,02 Frutales,Nectarina,Nectarina blanca,Valencia,mayo,Semana+22,"1,34 ","0,70"
15,02 Frutales,Níspero,Níspero Algar,Alicante,mayo,Semana+22,"1,15 ","1,15 "
16,03 Hortalizas,Acelga,Acelga,Alicante,mayo,Semana+22,"0,45 ","0,40"
17,03 Hortalizas,Apio,Apio verde,Alicante,mayo,Semana+22,"0,20 ","0,16"
18,03 Hortalizas,Berenjena,Berenjena negra,Valencia,mayo,Semana+22,"0,60 ","0,60 "
19,03 Hortalizas,Berenjena,Berenjena rayada,Alicante,mayo,Semana+22,"0,69 ","0,56"
20,03 Hortalizas,Berenjena,Berenjena rayada,Valencia,mayo,Semana+22,"1,50 ","1,50 "
21,03 Hortalizas,Calabacín,Calabacín,Alicante,mayo,Semana+22,"0,43 ","0,37"
22,03 Hortalizas,Calabacín,Calabacín,Castellón,mayo,Semana+22,"0,40 ","0,30"
23,03 Hortalizas,Calabacín,Calabacín,Valencia,mayo,Semana+22,"0,60 ","0,60 "
24,03 Hortalizas,Calabaza,Calabaza tipo cacahuete,Alicante,mayo,Semana+22,"0,35 ","0,15"
25,03 Hortalizas,Cebolla,Cebolla babosa,Alicante,mayo,Semana+22,"0,41 ","0,39"
26,03 Hortalizas,Cebolla,Cebolla Spring,Valencia,mayo,Semana+22,"0,27 ","0,20"
27,03 Hortalizas,Cebolla tierna,Cebolla tierna,Castellón,mayo,Semana+22,"0,40 ","0,40 "
28,03 Hortalizas,Col,Col lombarda,Castellón,mayo,Semana+22,"0,35 ","0,28"
29,03 Hortalizas,Col Repollo,Col repollo hoja lisa,Alicante,mayo,Semana+22,"0,20 ","0,13"
30,03 Hortalizas,Col Repollo,Col repollo hoja rizada,Alicante,mayo,Semana+22,"0,26 ","0,17"
31,03 Hortalizas,Col Repollo,Col repollo hoja rizada,Castellón,mayo,Semana+22,"0,35 ","0,28"
32,03 Hortalizas,Coliflor Blanca,Coliflor blanca,Alicante,mayo,Semana+22,"0,72 ","0,63"
33,03 Hortalizas,Coliflor Blanca,Coliflor blanca,Castellón,mayo,Semana+22,"0,65 ","0,45"
34,03 Hortalizas,Guisante verde,Guisantes verdes grano cons. fresco,Castellón,mayo,Semana+22,"1,50 ","1,50 "
35,03 Hortalizas,Judía Roja,Judía roja (roget),Valencia,mayo,Semana+22,"1,70 ","1,50"
36,03 Hortalizas,Lechuga,Lechuga Romana,Alicante,mayo,Semana+22,"0,33 ","0,27"
37,03 Hortalizas,Lechuga,Lechuga Romana,Castellón,mayo,Semana+22,"0,33 ","0,23"
38,03 Hortalizas,Patata,Patata blanca,Alicante,mayo,Semana+22,"0,49 ","0,35"
39,03 Hortalizas,Patata,Patata blanca,Castellón,mayo,Semana+22,"0,35 ","0,33"
40,03 Hortalizas,Patata,Patata blanca,Valencia,mayo,Semana+22,"0,35 ","0,21"
41,03 Hortalizas,Patata,Patata roja,Castellón,mayo,Semana+22,"0,35 ","0,30"
42,03 Hortalizas,Pepino,Pepino blanco,Alicante,mayo,Semana+22,"0,43 ","0,33"
43,03 Hortalizas,Pepino,Pepino blanco,Valencia,mayo,Semana+22,"0,60 ","0,60 "
44,03 Hortalizas,Pepino,Pepino negret,Castellón,mayo,Semana+22,"0,50 ","0,40"
45,03 Hortalizas,Pimiento,Pimiento California amarillo,Alicante,mayo,Semana+22,"1,10 ","0,70"
46,03 Hortalizas,Pimiento,Pimiento California rojo,Alicante,mayo,Semana+22,"1,50 ","0,90"
47,03 Hortalizas,Pimiento,Pimiento California verde,Alicante,mayo,Semana+22,"1,01 ","0,60"
48,03 Hortalizas,Pimiento,Pimiento dulce Italia,Alicante,mayo,Semana+22,"0,82 ","0,59"
49,03 Hortalizas,Pimiento,Pimiento industria,Alicante,mayo,Semana+22,"0,20 ","0,06"
50,03 Hortalizas,Pimiento,Pimiento Lamuyo rojo,Alicante,mayo,Semana+22,"1,50 ","0,50"
