,producto,subtipo,tipo_comercial,mercado,precio_max,precio_min,mes,semana
29,01 Cítricos,02- Clementinas,Clementina Clemenules,Alicante,0.2,0.22,diciembre,Semana+52
30,01 Cítricos,02- Clementinas,Clementina Clemenules,Castellón,0.15,0.25,diciembre,Semana+52
31,01 Cítricos,02- Clementinas,Clementina Clemenules,Valencia,0.15,0.21,diciembre,Semana+52
32,01 Cítricos,02- Clementinas,Clementina Clemenules,Lonja de Valencia,0.15,0.23,diciembre,Semana+52
35,01 Cítricos,02- Clementinas,Clementina Hernandina,Castellón,0.33,0.35,diciembre,Semana+52
37,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Alicante,0.28,€/kg,diciembre,Semana+52
38,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Castellón,0.3,0.35,diciembre,Semana+52
39,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Valencia,0.23,0.32,diciembre,Semana+52
40,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Lonja de Valencia,0.21,0.32,diciembre,Semana+52
43,01 Cítricos,03- Otras Mandarinas,Mandarina Nadorcott,Valencia,0.59,0.68,diciembre,Semana+52
44,01 Cítricos,03- Otras Mandarinas,Mandarina Nadorcott,Lonja de Valencia,0.59,€/kg,diciembre,Semana+52
47,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Alicante,0.24,€/kg,diciembre,Semana+52
48,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Lonja de Valencia,0.21,€/kg,diciembre,Semana+52
51,01 Cítricos,03- Otras Mandarinas,Mandarina Tango,Valencia,0.59,0.68,diciembre,Semana+52
52,01 Cítricos,03- Otras Mandarinas,Mandarina Tango,Lonja de Valencia,0.55,0.64,diciembre,Semana+52
54,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Alicante,0.28,0.33,diciembre,Semana+52
55,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Valencia,0.25,0.32,diciembre,Semana+52
56,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Lonja de Valencia,0.25,0.32,diciembre,Semana+52
59,01 Cítricos,04- Naranjas,Naranja Navelina,Alicante,0.18,0.22,diciembre,Semana+52
60,01 Cítricos,04- Naranjas,Naranja Navelina,Castellón,0.18,€/kg,diciembre,Semana+52
61,01 Cítricos,04- Naranjas,Naranja Navelina,Valencia,0.11,0.18,diciembre,Semana+52
62,01 Cítricos,04- Naranjas,Naranja Navelina,Lonja de Valencia,0.13,0.17,diciembre,Semana+52
66,01 Cítricos,04- Naranjas,Naranja Washington Navel,Valencia,0.15,0.23,diciembre,Semana+52
67,01 Cítricos,04- Naranjas,Naranja Washington Navel,Lonja de Valencia,0.19,0.23,diciembre,Semana+52
69,01 Cítricos,05- Naranjas Blancas,Salustiana,Castellón,0.22,€/kg,diciembre,Semana+52
70,01 Cítricos,05- Naranjas Blancas,Salustiana,Valencia,0.17,0.23,diciembre,Semana+52
71,01 Cítricos,05- Naranjas Blancas,Salustiana,Lonja de Valencia,0.17,0.21,diciembre,Semana+52
74,01 Cítricos,06- Limón Fino,Limón Fino,Alicante,0.15,0.22,diciembre,Semana+52
76,01 Cítricos,08- Pomelos,Pomelo Rojo,Alicante,0.18,0.28,diciembre,Semana+52
79,02 Frutales,Granada,Granada Mollar,Alicante,0.56,0.59,diciembre,Semana+52
