,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
3435,3461,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Alicante,6,26,0.55,0.5,2017,2017-26
3573,3600,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Alicante,6,25,0.6,0.55,2017,2017-25
3704,3732,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Alicante,6,24,0.5,0.4,2017,2017-24
3836,3865,02 Frutales,Albaricoque,Albaricoque Galta roja,Valencia,6,23,0.52,0.52,2017,2017-23
3837,3866,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Alicante,6,23,0.6,0.5,2017,2017-23
3971,4001,02 Frutales,Albaricoque,Albaricoque Galta roja,Valencia,5,22,0.63,0.58,2017,2017-22
3972,4002,02 Frutales,Albaricoque,Albaricoque Mirlo Naranja,Alicante,5,22,0.4,0.3,2017,2017-22
3973,4003,02 Frutales,Albaricoque,Albaricoque Mirlo Rojo,Alicante,5,22,0.4,0.3,2017,2017-22
3974,4004,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Alicante,5,22,0.6,0.5,2017,2017-22
3975,4005,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Valencia,5,22,0.6,0.55,2017,2017-22
3976,4006,02 Frutales,Albaricoque,Albaricoque Temprano,Valencia,5,22,0.4,0.25,2017,2017-22
4102,4133,02 Frutales,Albaricoque,Albaricoque Galta roja,Valencia,5,21,0.63,0.59,2017,2017-21
4103,4134,02 Frutales,Albaricoque,Albaricoque Mirlo Naranja,Alicante,5,21,0.4,0.3,2017,2017-21
4104,4135,02 Frutales,Albaricoque,Albaricoque Mirlo Rojo,Alicante,5,21,0.4,0.3,2017,2017-21
4105,4136,02 Frutales,Albaricoque,Albaricoque Mitjer de Castelló,Valencia,5,21,0.65,0.6,2017,2017-21
4106,4137,02 Frutales,Albaricoque,Albaricoque Temprano,Valencia,5,21,0.45,0.25,2017,2017-21
4250,4282,02 Frutales,Albaricoque,Albaricoque Galta roja,Valencia,5,20,0.63,0.59,2017,2017-20
4251,4283,02 Frutales,Albaricoque,Albaricoque Temprano,Valencia,5,20,0.7,0.4,2017,2017-20
