,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
2917,2939,02 Frutales,Cereza,Cereza Starking,Alicante,7,30,3.28,2.9,2017,2017-30
3043,3066,02 Frutales,Cereza,Cereza Starking,Alicante,7,29,2.57,2.37,2017,2017-29
3174,3198,02 Frutales,Cereza,Cereza Starking,Alicante,7,28,2.08,1.87,2017,2017-28
3304,3329,02 Frutales,Cereza,Cereza Starking,Alicante,7,27,2.06,1.86,2017,2017-27
3436,3462,02 Frutales,Cereza,Cereza Picota,Alicante,6,26,0.65,0.63,2017,2017-26
3437,3463,02 Frutales,Cereza,Cereza Starking,Alicante,6,26,2.0,1.8,2017,2017-26
3574,3601,02 Frutales,Cereza,Cereza Picota,Alicante,6,25,0.65,0.63,2017,2017-25
3575,3602,02 Frutales,Cereza,Cereza Starking,Alicante,6,25,2.09,1.97,2017,2017-25
3705,3733,02 Frutales,Cereza,Cereza Starking,Alicante,6,24,2.13,1.91,2017,2017-24
3706,3734,02 Frutales,Cereza,Cereza Starking,Castellón,6,24,0.58,0.58,2017,2017-24
3838,3867,02 Frutales,Cereza,Cereza Starking,Alicante,6,23,2.13,1.91,2017,2017-23
3839,3868,02 Frutales,Cereza,Cereza Starking,Castellón,6,23,1.26,1.26,2017,2017-23
3977,4007,02 Frutales,Cereza,Cereza Starking,Alicante,5,22,2.0,1.46,2017,2017-22
3978,4008,02 Frutales,Cereza,Cereza Starking,Castellón,5,22,0.75,0.75,2017,2017-22
4107,4138,02 Frutales,Cereza,Cereza Burlat,Castellón,5,21,0.95,0.95,2017,2017-21
4108,4139,02 Frutales,Cereza,Cereza Starking,Alicante,5,21,2.37,2.15,2017,2017-21
4252,4284,02 Frutales,Cereza,Cereza Burlat,Alicante,5,20,1.38,1.22,2017,2017-20
4253,4285,02 Frutales,Cereza,Cereza Burlat,Castellón,5,20,1.02,1.02,2017,2017-20
4254,4286,02 Frutales,Cereza,Cereza Starking,Alicante,5,20,3.71,3.22,2017,2017-20
4385,4418,02 Frutales,Cereza,Cereza Burlat,Alicante,5,19,1.66,1.32,2017,2017-19
4386,4419,02 Frutales,Cereza,Cereza Burlat,Castellón,5,19,1.56,1.56,2017,2017-19
4516,4550,02 Frutales,Cereza,Cereza Burlat,Alicante,5,18,2.18,1.88,2017,2017-18
6,7,02 Frutales,Cereza,Cereza Burlat,Alicante,5,22,1.81,1.64,2018,2018-22
7,8,02 Frutales,Cereza,Cereza Starking,Alicante,5,22,1.99,1.77,2018,2018-22
127,129,02 Frutales,Cereza,Cereza Burlat,Alicante,5,21,1.15,0.97,2018,2018-21
254,257,02 Frutales,Cereza,Cereza Burlat,Alicante,5,20,1.91,1.69,2018,2018-20
255,258,02 Frutales,Cereza,Cereza Burlat,Castellón,5,20,1.62,1.62,2018,2018-20
5603,64,02 Frutales,Cereza,Cereza Picota,Alicante,8,34,1.74,1.91,2018,2018-34
5716,43,02 Frutales,Cereza,Cereza Picota,Alicante,8,33,1.56,1.73,2018,2018-33
5827,35,02 Frutales,Cereza,Cereza Picota,Alicante,8,32,1.68,1.81,2018,2018-32
5940,36,02 Frutales,Cereza,Cereza Picota,Alicante,7,31,1.55,1.68,2018,2018-31
6051,37,02 Frutales,Cereza,Cereza Picota,Alicante,7,30,1.55,1.68,2018,2018-30
6052,40,02 Frutales,Cereza,Cereza Starking,Alicante,7,30,1.58,1.71,2018,2018-30
6166,36,02 Frutales,Cereza,Cereza Picota,Alicante,7,29,1.55,1.68,2018,2018-29
