,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
0,1,01 Cítricos,02- Clementinas,Clementina Clemenules,Alicante,12,51,0.35,0.3,2017,2017-51
1,2,01 Cítricos,02- Clementinas,Clementina Clemenules,Castellón,12,51,0.44,0.2,2017,2017-51
2,3,01 Cítricos,02- Clementinas,Clementina Fina,Castellón,12,51,0.44,0.4,2017,2017-51
3,4,01 Cítricos,02- Clementinas,Clementina Hernandina,Castellón,12,51,0.42,0.33,2017,2017-51
4,5,01 Cítricos,02- Clementinas,Clementina Hernandina,Valencia,12,51,0.36,0.25,2017,2017-51
5,6,01 Cítricos,02- Clementinas,Clementina Orogrande,Alicante,12,51,0.35,0.3,2017,2017-51
6,7,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Alicante,12,51,0.4,0.28,2017,2017-51
7,8,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Castellón,12,51,0.37,0.23,2017,2017-51
8,9,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Valencia,12,51,0.3,0.21,2017,2017-51
9,10,01 Cítricos,03- Otras Mandarinas,Mandarina Nadorcott,Alicante,12,51,0.8,0.7,2017,2017-51
10,11,01 Cítricos,03- Otras Mandarinas,Mandarina Nadorcott,Valencia,12,51,0.7,0.51,2017,2017-51
11,12,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Alicante,12,51,0.23,0.23,2017,2017-51
12,13,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Castellón,12,51,0.27,0.19,2017,2017-51
13,14,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Valencia,12,51,0.25,0.21,2017,2017-51
14,15,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Alicante,12,51,0.33,0.3,2017,2017-51
15,16,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Castellón,12,51,0.3,0.23,2017,2017-51
16,17,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Valencia,12,51,0.32,0.23,2017,2017-51
17,18,01 Cítricos,04- Naranjas,Naranja Navel Powel,Castellón,12,51,0.33,0.28,2017,2017-51
18,19,01 Cítricos,04- Naranjas,Naranja Navelina,Alicante,12,51,0.22,0.18,2017,2017-51
19,20,01 Cítricos,04- Naranjas,Naranja Sanguinelli,Castellón,12,51,0.4,0.37,2017,2017-51
20,21,01 Cítricos,04- Naranjas,Naranja Sanguinelli,Valencia,12,51,0.4,0.23,2017,2017-51
21,22,01 Cítricos,04- Naranjas,Naranja W. Navel,Castellón,12,51,0.21,0.19,2017,2017-51
22,23,01 Cítricos,04- Naranjas,Naranja W. Navel,Valencia,12,51,0.23,0.2,2017,2017-51
23,24,01 Cítricos,05- Naranjas Blancas,Salustiana,Alicante,12,51,0.25,0.23,2017,2017-51
24,25,01 Cítricos,05- Naranjas Blancas,Salustiana,Castellón,12,51,0.23,0.16,2017,2017-51
25,26,01 Cítricos,05- Naranjas Blancas,Salustiana,Valencia,12,51,0.23,0.19,2017,2017-51
26,27,01 Cítricos,05- Naranjas Blancas,Valencia Late,Castellón,12,51,0.28,0.26,2017,2017-51
27,28,01 Cítricos,06- Limón Fino,Limón Fino/Primofiori (1corte),Alicante,12,51,0.5,0.5,2017,2017-51
28,29,01 Cítricos,06- Limón Fino,Limón Fino/Primofiori (Todo Limón),Alicante,12,51,0.4,0.3,2017,2017-51
154,156,01 Cítricos,Clementinas,Clementina Clemenules,Alicante,12,50,0.35,0.3,2017,2017-50
155,157,01 Cítricos,Clementinas,Clementina Clemenules,Castellón,12,50,0.33,0.19,2017,2017-50
156,158,01 Cítricos,Clementinas,Clementina Clemenules,Valencia,12,50,0.25,0.23,2017,2017-50
157,159,01 Cítricos,Clementinas,Clementina Fina,Castellón,12,50,0.33,0.3,2017,2017-50
