,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
29,30,02 Frutales,Granada,Granada Mollar,Alicante,12,51,0.71,0.42,2017,2017-51
30,31,02 Frutales,Manzana,Manzana Fuji,Alicante,12,51,0.85,0.85,2017,2017-51
31,32,02 Frutales,Manzana,Manzana Golden,Alicante,12,51,0.67,0.57,2017,2017-51
32,33,02 Frutales,Manzana,Manzana Starking,Alicante,12,51,1.05,0.95,2017,2017-51
184,186,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,50,0.54,0.25,2017,2017-50
185,187,02 Frutales,Granada,Granada Mollar,Alicante,12,50,0.71,0.42,2017,2017-50
186,188,02 Frutales,Manzana,Manzana Fuji,Alicante,12,50,0.85,0.85,2017,2017-50
187,189,02 Frutales,Manzana,Manzana Golden,Alicante,12,50,0.67,0.57,2017,2017-50
188,190,02 Frutales,Manzana,Manzana Starking,Alicante,12,50,1.05,0.95,2017,2017-50
334,337,02 Frutales,Granada,Granada Mollar,Alicante,12,49,0.74,0.42,2017,2017-49
335,338,02 Frutales,Manzana,Manzana Fuji,Alicante,12,49,0.85,0.85,2017,2017-49
336,339,02 Frutales,Manzana,Manzana Golden,Alicante,12,49,0.67,0.57,2017,2017-49
337,340,02 Frutales,Manzana,Manzana Starking,Alicante,12,49,1.05,0.95,2017,2017-49
478,482,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,48,0.27,0.16,2017,2017-48
479,483,02 Frutales,Granada,Granada Mollar,Alicante,11,48,0.74,0.42,2017,2017-48
480,484,02 Frutales,Manzana,Manzana Fuji,Alicante,11,48,0.85,0.85,2017,2017-48
481,485,02 Frutales,Manzana,Manzana Golden,Alicante,11,48,0.67,0.57,2017,2017-48
482,486,02 Frutales,Manzana,Manzana Starking,Alicante,11,48,1.05,0.95,2017,2017-48
483,487,02 Frutales,Uva de mesa,Uva de mesa Aledo,Alicante,11,48,1.1,1.1,2017,2017-48
636,641,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,47,0.18,0.18,2017,2017-47
637,642,02 Frutales,Granada,Granada Mollar,Alicante,11,47,0.74,0.42,2017,2017-47
638,643,02 Frutales,Manzana,Manzana Fuji,Alicante,11,47,0.9,0.9,2017,2017-47
639,644,02 Frutales,Manzana,Manzana Golden,Alicante,11,47,0.75,0.65,2017,2017-47
640,645,02 Frutales,Manzana,Manzana Starking,Alicante,11,47,1.1,1.0,2017,2017-47
641,646,02 Frutales,Uva de mesa,Uva de mesa Aledo,Alicante,11,47,1.1,1.1,2017,2017-47
785,791,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,46,0.24,0.18,2017,2017-46
786,792,02 Frutales,Granada,Granada Mollar,Alicante,11,46,0.8,0.37,2017,2017-46
787,793,02 Frutales,Manzana,Manzana Fuji,Alicante,11,46,0.9,0.9,2017,2017-46
788,794,02 Frutales,Manzana,Manzana Golden,Alicante,11,46,0.75,0.65,2017,2017-46
789,795,02 Frutales,Manzana,Manzana Starking,Alicante,11,46,1.1,1.0,2017,2017-46
790,796,02 Frutales,Uva de mesa,Uva de mesa Aledo,Alicante,11,46,1.2,1.0,2017,2017-46
929,936,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,45,0.25,0.18,2017,2017-45
