,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
90,91,04 Frutos secos,Almendra,Almendra Comuna,Alicante,12,51,4.26,4.16,2017,2017-51
91,92,04 Frutos secos,Almendra,Almendra Comuna,Castellón,12,51,4.25,3.95,2017,2017-51
92,93,04 Frutos secos,Almendra,Almendra Comuna,Valencia,12,51,4.55,4.55,2017,2017-51
93,94,04 Frutos secos,Almendra,Almendra Largueta,Alicante,12,51,5.01,4.91,2017,2017-51
94,95,04 Frutos secos,Almendra,Almendra Largueta,Valencia,12,51,4.95,4.95,2017,2017-51
95,96,04 Frutos secos,Almendra,Almendra Marcona,Alicante,12,51,5.11,5.01,2017,2017-51
96,97,04 Frutos secos,Almendra,Almendra Marcona,Castellón,12,51,4.95,4.8,2017,2017-51
97,98,04 Frutos secos,Almendra,Almendra Marcona,Valencia,12,51,5.3,5.3,2017,2017-51
98,99,04 Frutos secos,Almendra,Almendra Planeta,Alicante,12,51,4.31,4.21,2017,2017-51
99,100,04 Frutos secos,Avellana,Avellana corriente,Lonja de Reus,12,51,3.47,3.47,2017,2017-51
100,101,04 Frutos secos,Avellana,Avellana negreta,Lonja de Reus,12,51,3.62,3.62,2017,2017-51
244,246,04 Frutos secos,Almendra,Almendra Comuna,Alicante,12,50,4.26,4.16,2017,2017-50
245,247,04 Frutos secos,Almendra,Almendra Comuna,Castellón,12,50,4.25,3.95,2017,2017-50
246,248,04 Frutos secos,Almendra,Almendra Comuna,Valencia,12,50,4.55,4.55,2017,2017-50
247,249,04 Frutos secos,Almendra,Almendra Largueta,Alicante,12,50,5.01,4.91,2017,2017-50
248,250,04 Frutos secos,Almendra,Almendra Largueta,Valencia,12,50,4.95,4.95,2017,2017-50
249,251,04 Frutos secos,Almendra,Almendra Marcona,Alicante,12,50,5.11,5.01,2017,2017-50
250,252,04 Frutos secos,Almendra,Almendra Marcona,Castellón,12,50,4.95,4.8,2017,2017-50
251,253,04 Frutos secos,Almendra,Almendra Marcona,Valencia,12,50,5.3,5.3,2017,2017-50
252,254,04 Frutos secos,Almendra,Almendra Planeta,Alicante,12,50,4.31,4.21,2017,2017-50
253,255,04 Frutos secos,Avellana,Avellana corriente,Lonja de Reus,12,50,3.47,3.47,2017,2017-50
254,256,04 Frutos secos,Avellana,Avellana negreta,Lonja de Reus,12,50,3.62,3.62,2017,2017-50
387,390,04 Frutos secos,Almendra,Almendra Comuna,Alicante,12,49,4.26,4.16,2017,2017-49
388,391,04 Frutos secos,Almendra,Almendra Comuna,Castellón,12,49,3.95,3.95,2017,2017-49
389,392,04 Frutos secos,Almendra,Almendra Comuna,Valencia,12,49,4.55,4.55,2017,2017-49
390,393,04 Frutos secos,Almendra,Almendra Largueta,Alicante,12,49,5.01,4.91,2017,2017-49
391,394,04 Frutos secos,Almendra,Almendra Largueta,Valencia,12,49,4.95,4.95,2017,2017-49
392,395,04 Frutos secos,Almendra,Almendra Marcona,Alicante,12,49,5.11,5.01,2017,2017-49
393,396,04 Frutos secos,Almendra,Almendra Marcona,Castellón,12,49,4.8,4.8,2017,2017-49
394,397,04 Frutos secos,Almendra,Almendra Marcona,Valencia,12,49,5.3,5.3,2017,2017-49
395,398,04 Frutos secos,Almendra,Almendra Planeta,Alicante,12,49,4.31,4.21,2017,2017-49
396,399,04 Frutos secos,Avellana,Avellana corriente,Lonja de Reus,12,49,3.47,3.47,2017,2017-49
397,400,04 Frutos secos,Avellana,Avellana negreta,Lonja de Reus,12,49,3.62,3.62,2017,2017-49
543,547,04 Frutos secos,Almendra,Almendra Comuna,Alicante,11,48,4.26,4.16,2017,2017-48
544,548,04 Frutos secos,Almendra,Almendra Comuna,Castellón,11,48,3.95,3.95,2017,2017-48
545,549,04 Frutos secos,Almendra,Almendra Comuna,Valencia,11,48,4.55,4.55,2017,2017-48
546,550,04 Frutos secos,Almendra,Almendra Largueta,Alicante,11,48,5.01,4.91,2017,2017-48
547,551,04 Frutos secos,Almendra,Almendra Largueta,Valencia,11,48,4.95,4.95,2017,2017-48
548,552,04 Frutos secos,Almendra,Almendra Marcona,Alicante,11,48,5.11,5.01,2017,2017-48
549,553,04 Frutos secos,Almendra,Almendra Marcona,Castellón,11,48,4.8,4.8,2017,2017-48
550,554,04 Frutos secos,Almendra,Almendra Marcona,Valencia,11,48,5.3,5.3,2017,2017-48
551,555,04 Frutos secos,Almendra,Almendra Planeta,Alicante,11,48,4.31,4.21,2017,2017-48
552,556,04 Frutos secos,Avellana,Avellana corriente,Lonja de Reus,11,48,3.47,3.47,2017,2017-48
553,557,04 Frutos secos,Avellana,Avellana negreta,Lonja de Reus,11,48,3.62,3.62,2017,2017-48
696,701,04 Frutos secos,Almendra,Almendra Comuna,Alicante,11,47,4.31,4.21,2017,2017-47
697,702,04 Frutos secos,Almendra,Almendra Comuna,Valencia,11,47,4.65,4.65,2017,2017-47
698,703,04 Frutos secos,Almendra,Almendra Largueta,Alicante,11,47,5.01,4.91,2017,2017-47
699,704,04 Frutos secos,Almendra,Almendra Largueta,Valencia,11,47,5.05,5.05,2017,2017-47
700,705,04 Frutos secos,Almendra,Almendra Marcona,Alicante,11,47,5.11,5.01,2017,2017-47
701,706,04 Frutos secos,Almendra,Almendra Marcona,Valencia,11,47,5.4,5.4,2017,2017-47
702,707,04 Frutos secos,Almendra,Almendra Planeta,Alicante,11,47,4.36,4.26,2017,2017-47
703,708,04 Frutos secos,Avellana,Avellana corriente,Lonja de Reus,11,47,3.47,3.47,2017,2017-47
704,709,04 Frutos secos,Avellana,Avellana negreta,Lonja de Reus,11,47,3.62,3.62,2017,2017-47
842,848,04 Frutos secos,Almendra,Almendra Comuna,Alicante,11,46,4.31,4.21,2017,2017-46
843,849,04 Frutos secos,Almendra,Almendra Comuna,Castellón,11,46,4.25,4.0,2017,2017-46
844,850,04 Frutos secos,Almendra,Almendra Comuna,Valencia,11,46,4.4,4.4,2017,2017-46
845,851,04 Frutos secos,Almendra,Almendra Largueta,Alicante,11,46,5.01,4.91,2017,2017-46
846,852,04 Frutos secos,Almendra,Almendra Largueta,Valencia,11,46,4.6,4.6,2017,2017-46
847,853,04 Frutos secos,Almendra,Almendra Marcona,Alicante,11,46,5.11,5.01,2017,2017-46
848,854,04 Frutos secos,Almendra,Almendra Marcona,Castellón,11,46,5.05,4.8,2017,2017-46
849,855,04 Frutos secos,Almendra,Almendra Marcona,Valencia,11,46,5.2,5.2,2017,2017-46
850,856,04 Frutos secos,Almendra,Almendra Planeta,Alicante,11,46,4.36,4.26,2017,2017-46
851,857,04 Frutos secos,Avellana,Avellana corriente,Lonja de Reus,11,46,3.47,3.47,2017,2017-46
852,858,04 Frutos secos,Avellana,Avellana negreta,Lonja de Reus,11,46,3.62,3.62,2017,2017-46
990,997,04 Frutos secos,Almendra,Almendra Comuna,Alicante,11,45,4.36,4.26,2017,2017-45
991,998,04 Frutos secos,Almendra,Almendra Comuna,Castellón,11,45,4.3,4.05,2017,2017-45
