,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
2435,2453,02 Frutales,Higo,Higo negro,Alicante,8,34,0.83,0.78,2017,2017-34
2564,2583,02 Frutales,Higo,Higo negro,Alicante,8,33,0.83,0.78,2017,2017-33
2689,2709,02 Frutales,Higo,Higo negro,Alicante,8,32,0.87,0.6,2017,2017-32
2809,2830,02 Frutales,Higo,Higo negro,Alicante,8,31,0.87,0.6,2017,2017-31
2919,2941,02 Frutales,Higo,Higo negro,Alicante,7,30,1.61,0.82,2017,2017-30
3045,3068,02 Frutales,Higo,Higo negro,Alicante,7,29,2.04,1.25,2017,2017-29
3439,3465,02 Frutales,Higo,Higo breva,Alicante,6,26,2.46,2.46,2017,2017-26
3577,3604,02 Frutales,Higo,Higo breva,Alicante,6,25,2.53,2.43,2017,2017-25
3709,3737,02 Frutales,Higo,Higo breva,Alicante,6,24,2.63,2.37,2017,2017-24
3841,3870,02 Frutales,Higo,Higo breva,Alicante,6,23,3.0,2.46,2017,2017-23
3980,4010,02 Frutales,Higo,Higo breva,Alicante,5,22,3.0,2.56,2017,2017-22
4109,4140,02 Frutales,Higo,Higo breva,Alicante,5,21,2.82,2.82,2017,2017-21
8,9,02 Frutales,Higo,Higo breva,Alicante,5,22,4.02,2.65,2018,2018-22
5605,68,02 Frutales,Higo,Higo Negro,Alicante,8,34,0.9,1.08,2018,2018-34
5717,45,02 Frutales,Higo,Higo Negro,Alicante,8,33,0.9,1.08,2018,2018-33
5828,37,02 Frutales,Higo,Higo Negro,Alicante,8,32,1.05,1.33,2018,2018-32
5941,39,02 Frutales,Higo,Higo Negro,Alicante,7,31,1.23,1.33,2018,2018-31
6053,43,02 Frutales,Higo,Higo Negro,Alicante,7,30,1.0,1.8,2018,2018-30
6525,43,02 Frutales,Higo,Higo Breva,Alicante,6,26,1.83,2.4,2018,2018-26
6650,52,02 Frutales,Higo,Higo Breva,Alicante,6,25,1.91,2.18,2018,2018-25
6778,55,02 Frutales,Higo,Higo Breva,Alicante,6,24,1.91,2.5,2018,2018-24
6904,49,02 Frutales,Higo,Higo Breva,Alicante,6,23,2.43,2.65,2018,2018-23
2390,82,02 Frutales,Higo,Higo Negro,Alicante,8,35,0.74,0.84,2019,2019-35
2525,76,02 Frutales,Higo,Higo Negro,Alicante,8,34,0.74,0.97,2019,2019-34
2647,54,02 Frutales,Higo,Higo Negro,Alicante,8,33,0.7,0.89,2019,2019-33
2751,40,02 Frutales,Higo,Higo Negro,Alicante,8,32,0.7,0.89,2019,2019-32
2852,34,02 Frutales,Higo,Higo Negro,Alicante,7,31,1.42,2.01,2019,2019-31
2961,36,02 Frutales,Higo,Higo Negro,Alicante,7,30,1.57,2.54,2019,2019-30
3201,41,02 Frutales,Higo,Higo Breva,Alicante,7,27,2.3,0.0,2019,2019-27
3318,43,02 Frutales,Higo,Higo Breva,Alicante,6,26,2.13,2.3,2019,2019-26
3436,43,02 Frutales,Higo,Higo Breva,Alicante,6,25,2.13,2.3,2019,2019-25
3543,49,02 Frutales,Higo,Higo Breva,Alicante,6,24,2.13,2.3,2019,2019-24
3665,54,02 Frutales,Higo,Higo Breva,Alicante,6,23,2.56,3.0,2019,2019-23
2371,61,02 Frutales,Higo,Higo Negro,Alicante,8,35,1.05,0.0,2020,2020-35
2510,91,02 Frutales,Higo,Higo Negro,Alicante,8,34,0.96,1.09,2020,2020-34
2634,68,02 Frutales,Higo,Higo Negro,Alicante,8,33,0.87,1.37,2020,2020-33
2773,79,02 Frutales,Higo,Higo Negro,Alicante,8,32,0.87,1.11,2020,2020-32
2905,68,02 Frutales,Higo,Higo Negro,Alicante,7,31,0.87,1.11,2020,2020-31
3039,66,02 Frutales,Higo,Higo Negro,Alicante,7,30,1.27,1.64,2020,2020-30
3732,71,02 Frutales,Higo,Higo Breva,Alicante,6,25,2.09,2.25,2020,2020-25
3869,64,02 Frutales,Higo,Higo Breva,Alicante,6,24,2.09,2.25,2020,2020-24
4008,65,02 Frutales,Higo,Higo Breva,Alicante,6,23,2.17,2.55,2020,2020-23
4129,42,02 Frutales,Higo,Higo Breva,Alicante,5,22,2.38,2.63,2020,2020-22
2254,62,02 Frutales,Higo,Higo Negro,Alicante,8,35,0.71,0.98,2021,2021-35
2379,53,02 Frutales,Higo,Higo Negro,Alicante,8,34,0.78,0.98,2021,2021-34
2487,36,02 Frutales,Higo,Higo Negro,Alicante,8,33,0.78,0.98,2021,2021-33
2604,36,02 Frutales,Higo,Higo Negro,Alicante,8,32,0.88,1.08,2021,2021-32
2722,41,02 Frutales,Higo,Higo Negro,Alicante,7,31,1.21,1.41,2021,2021-31
2839,39,02 Frutales,Higo,Higo Negro,Alicante,7,30,1.45,1.68,2021,2021-30
3309,38,02 Frutales,Higo,Higo Breva,Alicante,6,26,1.33,1.94,2021,2021-26
3421,36,02 Frutales,Higo,Higo Breva,Alicante,6,25,1.33,1.94,2021,2021-25
3537,45,02 Frutales,Higo,Higo Breva,Alicante,6,24,1.33,2.23,2021,2021-24
3662,45,02 Frutales,Higo,Higo Breva,Alicante,6,23,2.14,2.45,2021,2021-23
3790,45,02 Frutales,Higo,Higo Breva,Alicante,5,22,3.24,3.65,2021,2021-22
