,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
0,1,01 Cítricos,Clementinas,Clementina Clemenules,Alicante,12,51,0.35,0.3,2017,2017-51
1,2,01 Cítricos,Clementinas,Clementina Clemenules,Castellón,12,51,0.44,0.2,2017,2017-51
2,3,01 Cítricos,Clementinas,Clementina Fina,Castellón,12,51,0.44,0.4,2017,2017-51
3,4,01 Cítricos,Clementinas,Clementina Hernandina,Castellón,12,51,0.42,0.33,2017,2017-51
4,5,01 Cítricos,Clementinas,Clementina Hernandina,Valencia,12,51,0.36,0.25,2017,2017-51
5,6,01 Cítricos,Clementinas,Clementina Orogrande,Alicante,12,51,0.35,0.3,2017,2017-51
154,156,01 Cítricos,Clementinas,Clementina Clemenules,Alicante,12,50,0.35,0.3,2017,2017-50
155,157,01 Cítricos,Clementinas,Clementina Clemenules,Castellón,12,50,0.33,0.19,2017,2017-50
156,158,01 Cítricos,Clementinas,Clementina Clemenules,Valencia,12,50,0.25,0.23,2017,2017-50
157,159,01 Cítricos,Clementinas,Clementina Fina,Castellón,12,50,0.33,0.3,2017,2017-50
158,160,01 Cítricos,Clementinas,Clementina Hernandina,Castellón,12,50,0.39,0.39,2017,2017-50
159,161,01 Cítricos,Clementinas,Clementina Hernandina,Valencia,12,50,0.32,0.26,2017,2017-50
160,162,01 Cítricos,Clementinas,Clementina Orogrande,Alicante,12,50,0.35,0.3,2017,2017-50
308,311,01 Cítricos,Clementinas,Clementina Clemenules,Alicante,12,49,0.35,0.3,2017,2017-49
309,312,01 Cítricos,Clementinas,Clementina Clemenules,Castellón,12,49,0.3,0.2,2017,2017-49
310,313,01 Cítricos,Clementinas,Clementina Clemenules,Valencia,12,49,0.25,0.19,2017,2017-49
311,314,01 Cítricos,Clementinas,Clementina Fina,Castellón,12,49,0.33,0.3,2017,2017-49
312,315,01 Cítricos,Clementinas,Clementina Hernandina,Castellón,12,49,0.35,0.33,2017,2017-49
313,316,01 Cítricos,Clementinas,Clementina Orogrande,Alicante,12,49,0.35,0.3,2017,2017-49
451,455,01 Cítricos,Clementinas,Clementina Clemenules,Alicante,11,48,0.3,0.25,2017,2017-48
452,456,01 Cítricos,Clementinas,Clementina Clemenules,Castellón,11,48,0.24,0.2,2017,2017-48
453,457,01 Cítricos,Clementinas,Clementina Clemenules,Valencia,11,48,0.25,0.19,2017,2017-48
