,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
2920,2942,02 Frutales,Melocotón,Melocoton carne amarilla,Alicante,7,30,0.7,0.6,2017,2017-30
3046,3069,02 Frutales,Melocotón,Melocoton carne amarilla,Alicante,7,29,0.75,0.5,2017,2017-29
3176,3200,02 Frutales,Melocotón,Melocoton carne amarilla,Alicante,7,28,0.7,0.5,2017,2017-28
3306,3331,02 Frutales,Melocotón,Melocotón carne amarilla,Alicante,7,27,0.75,0.7,2017,2017-27
3440,3466,02 Frutales,Melocotón,Melocotón carne amarilla,Alicante,6,26,0.5,0.4,2017,2017-26
3578,3605,02 Frutales,Melocotón,Melocoton carne amarilla,Alicante,6,25,0.4,0.3,2017,2017-25
3579,3606,02 Frutales,Melocotón,Melocotón Paraguayo,Alicante,6,25,0.45,0.4,2017,2017-25
3710,3738,02 Frutales,Melocotón,Melocoton carne amarilla,Alicante,6,24,0.45,0.4,2017,2017-24
3711,3739,02 Frutales,Melocotón,Melocotón Paraguayo,Alicante,6,24,0.45,0.4,2017,2017-24
3842,3871,02 Frutales,Melocotón,Melocoton carne amarilla,Valencia,6,23,0.5,0.4,2017,2017-23
3843,3872,02 Frutales,Melocotón,Melocotón Paraguayo,Valencia,6,23,0.48,0.38,2017,2017-23
3844,3873,02 Frutales,Melocotón,Melocotón temprano,Valencia,6,23,0.35,0.33,2017,2017-23
3981,4011,02 Frutales,Melocotón,Melocoton carne amarilla,Valencia,5,22,0.55,0.5,2017,2017-22
3982,4012,02 Frutales,Melocotón,Melocotón Paraguayo,Alicante,5,22,0.7,0.7,2017,2017-22
3983,4013,02 Frutales,Melocotón,Melocotón Paraguayo,Valencia,5,22,0.57,0.45,2017,2017-22
3984,4014,02 Frutales,Melocotón,Melocotón temprano,Alicante,5,22,0.6,0.5,2017,2017-22
3985,4015,02 Frutales,Melocotón,Melocotón temprano,Valencia,5,22,0.75,0.45,2017,2017-22
4110,4141,02 Frutales,Melocotón,Melocoton carne amarilla,Valencia,5,21,0.7,0.6,2017,2017-21
4111,4142,02 Frutales,Melocotón,Melocotón extratemprano,Valencia,5,21,0.48,0.45,2017,2017-21
4112,4143,02 Frutales,Melocotón,Melocotón Paraguayo,Alicante,5,21,0.7,0.7,2017,2017-21
4113,4144,02 Frutales,Melocotón,Melocotón Paraguayo,Valencia,5,21,0.71,0.45,2017,2017-21
4114,4145,02 Frutales,Melocotón,Melocotón temprano,Valencia,5,21,0.91,0.53,2017,2017-21
4255,4287,02 Frutales,Melocotón,Melocotón extratemprano,Valencia,5,20,0.55,0.37,2017,2017-20
4256,4288,02 Frutales,Melocotón,Melocotón Paraguayo,Valencia,5,20,0.98,0.79,2017,2017-20
4257,4289,02 Frutales,Melocotón,Melocotón temprano,Valencia,5,20,0.53,0.47,2017,2017-20
