,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
23,24,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,12,51,0.25,0.23,2017,2017-51
24,25,01 Cítricos,Naranjas Blancas,Salustiana,Castellón,12,51,0.23,0.16,2017,2017-51
25,26,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,12,51,0.23,0.19,2017,2017-51
26,27,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,12,51,0.28,0.26,2017,2017-51
178,180,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,12,50,0.26,0.23,2017,2017-50
179,181,01 Cítricos,Naranjas Blancas,Salustiana,Castellón,12,50,0.2,0.16,2017,2017-50
180,182,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,12,50,0.25,0.19,2017,2017-50
181,183,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,12,50,0.28,0.26,2017,2017-50
329,332,01 Cítricos,Naranjas Blancas,Salustiana,Castellón,12,49,0.16,0.16,2017,2017-49
330,333,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,12,49,0.23,0.18,2017,2017-49
331,334,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,12,49,0.28,0.26,2017,2017-49
472,476,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,11,48,0.23,0.23,2017,2017-48
473,477,01 Cítricos,Naranjas Blancas,Salustiana,Castellón,11,48,0.19,0.16,2017,2017-48
474,478,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,11,48,0.23,0.18,2017,2017-48
631,636,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,11,47,0.23,0.23,2017,2017-47
632,637,01 Cítricos,Naranjas Blancas,Salustiana,Castellón,11,47,0.19,0.16,2017,2017-47
633,638,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,11,47,0.23,0.19,2017,2017-47
780,786,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,11,46,0.26,0.21,2017,2017-46
781,787,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,11,46,0.23,0.19,2017,2017-46
924,931,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,11,45,0.23,0.21,2017,2017-45
925,932,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,11,45,0.23,0.17,2017,2017-45
1077,1085,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,10,44,0.23,0.21,2017,2017-44
1078,1086,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,10,44,0.23,0.17,2017,2017-44
1221,1230,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,10,43,0.23,0.21,2017,2017-43
1222,1231,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,10,43,0.23,0.17,2017,2017-43
1357,1367,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,10,42,0.23,0.19,2017,2017-42
1358,1368,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,10,42,0.23,0.17,2017,2017-42
1494,1505,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,10,41,0.23,0.21,2017,2017-41
1495,1506,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,10,41,0.23,0.17,2017,2017-41
1632,1644,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,10,40,0.23,0.19,2017,2017-40
1633,1645,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,10,40,0.23,0.17,2017,2017-40
1763,1776,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,9,39,0.23,0.19,2017,2017-39
1901,1915,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,9,38,0.23,0.19,2017,2017-38
2031,2046,01 Cítricos,Naranjas Blancas,Salustiana,Alicante,9,37,0.23,0.21,2017,2017-37
3571,3598,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,6,25,0.4,0.35,2017,2017-25
3702,3730,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,6,24,0.4,0.3,2017,2017-24
3834,3863,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,6,23,0.4,0.35,2017,2017-23
3969,3999,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,5,22,0.4,0.3,2017,2017-22
4100,4131,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,5,21,0.4,0.3,2017,2017-21
4248,4280,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,5,20,0.4,0.3,2017,2017-20
4381,4414,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,5,19,0.35,0.3,2017,2017-19
4382,4415,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,5,19,0.42,0.23,2017,2017-19
4512,4546,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,5,18,0.35,0.3,2017,2017-18
4513,4547,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,5,18,0.4,0.21,2017,2017-18
4644,4679,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,4,17,0.33,0.26,2017,2017-17
4645,4680,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,4,17,0.33,0.28,2017,2017-17
4646,4681,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,4,17,0.38,0.21,2017,2017-17
4773,4809,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,4,16,0.33,0.26,2017,2017-16
4774,4810,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,4,16,0.3,0.28,2017,2017-16
4775,4811,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,4,16,0.38,0.3,2017,2017-16
4904,4941,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,4,15,0.28,0.28,2017,2017-15
4905,4942,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,4,15,0.3,0.28,2017,2017-15
4906,4943,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,4,15,0.37,0.25,2017,2017-15
5021,5059,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,4,14,0.33,0.26,2017,2017-14
5022,5060,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,4,14,0.3,0.26,2017,2017-14
5023,5061,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,4,14,0.38,0.25,2017,2017-14
5157,5196,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,3,13,0.33,0.28,2017,2017-13
5158,5197,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,3,13,0.33,0.21,2017,2017-13
5159,5198,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,3,13,0.38,0.25,2017,2017-13
5291,5331,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,3,12,0.33,0.28,2017,2017-12
5292,5332,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,3,12,0.33,0.24,2017,2017-12
5293,5333,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,3,12,0.34,0.25,2017,2017-12
5422,5463,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,3,11,0.33,0.28,2017,2017-11
5423,5464,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,3,11,0.3,0.24,2017,2017-11
5424,5465,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,3,11,0.34,0.25,2017,2017-11
5556,5598,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,3,10,0.35,0.33,2017,2017-10
5557,5599,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,3,10,0.3,0.27,2017,2017-10
5558,5600,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,3,10,0.34,0.25,2017,2017-10
5702,5745,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,2,9,0.35,0.33,2017,2017-9
5703,5746,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,2,9,0.3,0.24,2017,2017-9
5704,5747,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,2,9,0.32,0.21,2017,2017-9
5839,5883,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,2,8,0.17,0.16,2017,2017-8
5840,5884,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,2,8,0.33,0.28,2017,2017-8
5841,5885,01 Cítricos,Naranjas Blancas,Valencia Late,Castellón,2,8,0.27,0.23,2017,2017-8
5842,5886,01 Cítricos,Naranjas Blancas,Valencia Late,Valencia,2,8,0.32,0.23,2017,2017-8
5990,6035,01 Cítricos,Naranjas Blancas,Salustiana,Valencia,2,7,0.17,0.14,2017,2017-7
5991,6036,01 Cítricos,Naranjas Blancas,Valencia Late,Alicante,2,7,0.33,0.26,2017,2017-7
