,PROVINCIA,Código municipio (INE),MUNICIPIO,Código comarca,COMARCA,GRUPO DE CULTIVO,Código cultivo,CULTIVO,SECANO (hectáreas),REGADIO (hectáreas),SUPERFICIE CULTIVADA (hectáreas),año
51,VALENCIA,46001,ADEMUZ,9,RINCÓN DE ADEMUZ,FRUTALES,1201,MANZANO,0,65,65,2017
52,VALENCIA,46001,ADEMUZ,9,RINCÓN DE ADEMUZ,FRUTALES,1208,MELOCOTONERO,0,2,2,2017
53,VALENCIA,46001,ADEMUZ,9,RINCÓN DE ADEMUZ,FRUTALES,1209,CIRUELO,3,3,6,2017
54,VALENCIA,46001,ADEMUZ,9,RINCÓN DE ADEMUZ,FRUTALES,1218,ALMENDRO,1000,10,1010,2017
55,VALENCIA,46001,ADEMUZ,9,RINCÓN DE ADEMUZ,FRUTALES,1219,NOGAL,1,2,3,2017
102,VALENCIA,46002,ADOR,25,LA SAFOR,CITRICOS,1101,NARANJO DULCE,0,128,128,2017
103,VALENCIA,46002,ADOR,25,LA SAFOR,CITRICOS,1103,MANDARINO,0,294,294,2017
104,VALENCIA,46002,ADOR,25,LA SAFOR,CITRICOS,1106,LIMERO Y OTROS CITRICOS,0,7,7,2017
105,VALENCIA,46002,ADOR,25,LA SAFOR,FRUTALES,1204,NISPERO,0,1,1,2017
106,VALENCIA,46002,ADOR,25,LA SAFOR,FRUTALES,1212,GRANADO,0,1,1,2017
107,VALENCIA,46002,ADOR,25,LA SAFOR,FRUTALES,1213,AGUACATE,0,1,1,2017
166,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,CITRICOS,1101,NARANJO DULCE,0,30,30,2017
167,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,CITRICOS,1103,MANDARINO,0,7,7,2017
168,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1206,ALBARICOQUERO,5,8,13,2017
169,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1208,MELOCOTONERO,0,9,9,2017
170,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1209,CIRUELO,8,6,14,2017
171,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1210,HIGUERA,1,0,1,2017
172,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1218,ALMENDRO,13,16,29,2017
175,VALENCIA,46003,ATZENETA D'ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,12173,CAQUI,0,14,14,2017
232,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,CITRICOS,1101,NARANJO DULCE,0,21,21,2017
233,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,CITRICOS,1103,MANDARINO,0,22,22,2017
234,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,FRUTALES,1202,PERAL,1,0,1,2017
235,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,FRUTALES,1206,ALBARICOQUERO,12,36,48,2017
236,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,FRUTALES,1208,MELOCOTONERO,12,9,21,2017
237,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,FRUTALES,1209,CIRUELO,10,14,24,2017
238,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,FRUTALES,1218,ALMENDRO,10,10,20,2017
243,VALENCIA,46004,AGULLENT,24,LA VALL D'ALBAIDA,FRUTALES,12173,CAQUI,4,45,49,2017
319,VALENCIA,46005,ALAQUÀS,14,L'HORTA OEST,CITRICOS,1101,NARANJO DULCE,0,10,10,2017
320,VALENCIA,46005,ALAQUÀS,14,L'HORTA OEST,CITRICOS,1103,MANDARINO,0,5,5,2017
322,VALENCIA,46005,ALAQUÀS,14,L'HORTA OEST,FRUTALES,12173,CAQUI,0,1,1,2017
353,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,CITRICOS,1101,NARANJO DULCE,0,35,35,2017
354,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,CITRICOS,1103,MANDARINO,0,42,42,2017
355,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1202,PERAL,1,0,1,2017
356,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1206,ALBARICOQUERO,65,67,132,2017
357,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1208,MELOCOTONERO,34,11,45,2017
358,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1209,CIRUELO,17,30,47,2017
359,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1210,HIGUERA,0,1,1,2017
360,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1218,ALMENDRO,116,30,146,2017
361,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1219,NOGAL,5,14,19,2017
362,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,1222,PISTACHO,5,0,5,2017
368,VALENCIA,46006,ALBAIDA,24,LA VALL D'ALBAIDA,FRUTALES,12173,CAQUI,7,182,189,2017
404,VALENCIA,46007,ALBAL,16,L'HORTA SUD,CITRICOS,1101,NARANJO DULCE,0,116,116,2017
405,VALENCIA,46007,ALBAL,16,L'HORTA SUD,CITRICOS,1103,MANDARINO,0,63,63,2017
406,VALENCIA,46007,ALBAL,16,L'HORTA SUD,FRUTALES,1212,GRANADO,0,4,4,2017
409,VALENCIA,46007,ALBAL,16,L'HORTA SUD,FRUTALES,12171,KIWI,0,1,1,2017
410,VALENCIA,46007,ALBAL,16,L'HORTA SUD,FRUTALES,12173,CAQUI,0,18,18,2017
440,VALENCIA,46008,ALBALAT DE LA RIBERA,21,LA RIBERA BAIXA,CITRICOS,1101,NARANJO DULCE,0,620,620,2017
441,VALENCIA,46008,ALBALAT DE LA RIBERA,21,LA RIBERA BAIXA,CITRICOS,1103,MANDARINO,0,167,167,2017
442,VALENCIA,46008,ALBALAT DE LA RIBERA,21,LA RIBERA BAIXA,FRUTALES,1206,ALBARICOQUERO,0,5,5,2017
443,VALENCIA,46008,ALBALAT DE LA RIBERA,21,LA RIBERA BAIXA,FRUTALES,1208,MELOCOTONERO,0,6,6,2017
444,VALENCIA,46008,ALBALAT DE LA RIBERA,21,LA RIBERA BAIXA,FRUTALES,1212,GRANADO,0,1,1,2017
446,VALENCIA,46008,ALBALAT DE LA RIBERA,21,LA RIBERA BAIXA,FRUTALES,12173,CAQUI,0,62,62,2017
516,VALENCIA,46009,ALBALAT DELS SORELLS,13,L'HORTA NORD,CITRICOS,1101,NARANJO DULCE,0,145,145,2017
517,VALENCIA,46009,ALBALAT DELS SORELLS,13,L'HORTA NORD,CITRICOS,1103,MANDARINO,0,48,48,2017
518,VALENCIA,46009,ALBALAT DELS SORELLS,13,L'HORTA NORD,FRUTALES,1208,MELOCOTONERO,0,1,1,2017
519,VALENCIA,46009,ALBALAT DELS SORELLS,13,L'HORTA NORD,FRUTALES,1212,GRANADO,0,6,6,2017
520,VALENCIA,46009,ALBALAT DELS SORELLS,13,L'HORTA NORD,FRUTALES,12173,CAQUI,0,3,3,2017
557,VALENCIA,46010,ALBALAT DELS TARONGERS,12,EL CAMP DE MORVEDRE,CITRICOS,1101,NARANJO DULCE,0,50,50,2017
558,VALENCIA,46010,ALBALAT DELS TARONGERS,12,EL CAMP DE MORVEDRE,CITRICOS,1103,MANDARINO,0,132,132,2017
559,VALENCIA,46010,ALBALAT DELS TARONGERS,12,EL CAMP DE MORVEDRE,FRUTALES,1212,GRANADO,0,2,2,2017
560,VALENCIA,46010,ALBALAT DELS TARONGERS,12,EL CAMP DE MORVEDRE,FRUTALES,1218,ALMENDRO,20,1,21,2017
564,VALENCIA,46010,ALBALAT DELS TARONGERS,12,EL CAMP DE MORVEDRE,FRUTALES,12173,CAQUI,0,9,9,2017
633,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,CITRICOS,1101,NARANJO DULCE,0,514,514,2017
634,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,CITRICOS,1103,MANDARINO,0,379,379,2017
635,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,CITRICOS,1105,POMELO,0,7,7,2017
636,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,CITRICOS,1106,LIMERO Y OTROS CITRICOS,0,1,1,2017
637,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,FRUTALES,1206,ALBARICOQUERO,0,1,1,2017
638,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,FRUTALES,1212,GRANADO,0,2,2,2017
639,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,FRUTALES,1213,AGUACATE,0,7,7,2017
640,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,FRUTALES,1218,ALMENDRO,1,0,1,2017
642,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,FRUTALES,12171,KIWI,0,1,1,2017
643,VALENCIA,46011,ALBERIC,20,LA RIBERA ALTA,FRUTALES,12173,CAQUI,0,402,402,2017
700,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,CITRICOS,1101,NARANJO DULCE,0,41,41,2017
701,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,CITRICOS,1103,MANDARINO,0,56,56,2017
702,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,1202,PERAL,2,3,5,2017
703,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,1204,NISPERO,0,1,1,2017
704,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,1206,ALBARICOQUERO,0,23,23,2017
705,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,1208,MELOCOTONERO,2,30,32,2017
706,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,1212,GRANADO,0,1,1,2017
707,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,1218,ALMENDRO,6,12,18,2017
711,VALENCIA,46012,ALBORACHE,18,LA HOYA DE BUÑOL,FRUTALES,12173,CAQUI,0,48,48,2017
748,VALENCIA,46013,ALBORAYA,13,L'HORTA NORD,CITRICOS,1103,MANDARINO,0,1,1,2017
749,VALENCIA,46013,ALBORAYA,13,L'HORTA NORD,FRUTALES,1208,MELOCOTONERO,0,3,3,2017
750,VALENCIA,46013,ALBORAYA,13,L'HORTA NORD,FRUTALES,12173,CAQUI,0,1,1,2017
824,VALENCIA,46014,ALBUIXECH,13,L'HORTA NORD,CITRICOS,1101,NARANJO DULCE,0,61,61,2017
825,VALENCIA,46014,ALBUIXECH,13,L'HORTA NORD,CITRICOS,1103,MANDARINO,0,9,9,2017
826,VALENCIA,46014,ALBUIXECH,13,L'HORTA NORD,FRUTALES,1212,GRANADO,0,1,1,2017
827,VALENCIA,46014,ALBUIXECH,13,L'HORTA NORD,FRUTALES,12173,CAQUI,0,1,1,2017
890,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,CITRICOS,1101,NARANJO DULCE,0,85,85,2017
891,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,CITRICOS,1103,MANDARINO,0,254,254,2017
892,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,1206,ALBARICOQUERO,0,11,11,2017
893,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,1208,MELOCOTONERO,0,3,3,2017
894,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,1212,GRANADO,0,40,40,2017
895,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,1213,AGUACATE,0,4,4,2017
896,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,1218,ALMENDRO,0,5,5,2017
899,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,12171,KIWI,0,6,6,2017
900,VALENCIA,46015,ALCÀSSER,16,L'HORTA SUD,FRUTALES,12173,CAQUI,0,60,60,2017
934,VALENCIA,46016,ALCÀNTERA DE XÚQUER,20,LA RIBERA ALTA,CITRICOS,1101,NARANJO DULCE,0,144,144,2017
935,VALENCIA,46016,ALCÀNTERA DE XÚQUER,20,LA RIBERA ALTA,CITRICOS,1103,MANDARINO,0,63,63,2017
936,VALENCIA,46016,ALCÀNTERA DE XÚQUER,20,LA RIBERA ALTA,CITRICOS,1105,POMELO,0,7,7,2017
937,VALENCIA,46016,ALCÀNTERA DE XÚQUER,20,LA RIBERA ALTA,FRUTALES,1208,MELOCOTONERO,0,1,1,2017
938,VALENCIA,46016,ALCÀNTERA DE XÚQUER,20,LA RIBERA ALTA,FRUTALES,1212,GRANADO,0,1,1,2017
939,VALENCIA,46016,ALCÀNTERA DE XÚQUER,20,LA RIBERA ALTA,FRUTALES,12173,CAQUI,0,48,48,2017
971,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,CITRICOS,1101,NARANJO DULCE,0,2455,2455,2017
972,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,CITRICOS,1103,MANDARINO,0,1433,1433,2017
973,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,CITRICOS,1104,LIMONERO,0,4,4,2017
974,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,CITRICOS,1105,POMELO,0,7,7,2017
975,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,CITRICOS,1106,LIMERO Y OTROS CITRICOS,0,14,14,2017
976,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1201,MANZANO,0,2,2,2017
977,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1204,NISPERO,0,1,1,2017
978,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1206,ALBARICOQUERO,0,12,12,2017
979,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1208,MELOCOTONERO,0,80,80,2017
980,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1209,CIRUELO,0,2,2,2017
981,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1212,GRANADO,0,9,9,2017
982,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1213,AGUACATE,0,5,5,2017
983,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,1218,ALMENDRO,1,0,1,2017
986,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,12171,KIWI,0,1,1,2017
987,VALENCIA,46017,ALZIRA,20,LA RIBERA ALTA,FRUTALES,12173,CAQUI,0,880,880,2017
1020,VALENCIA,46018,ALCUBLAS,10,LOS SERRANOS,FRUTALES,1208,MELOCOTONERO,1,0,1,2017
1021,VALENCIA,46018,ALCUBLAS,10,LOS SERRANOS,FRUTALES,1218,ALMENDRO,805,21,826,2017
1022,VALENCIA,46018,ALCUBLAS,10,LOS SERRANOS,FRUTALES,1219,NOGAL,1,0,1,2017
1079,VALENCIA,46019,ALCÚDIA (L'),20,LA RIBERA ALTA,CITRICOS,1101,NARANJO DULCE,0,270,270,2017
1080,VALENCIA,46019,ALCÚDIA (L'),20,LA RIBERA ALTA,CITRICOS,1103,MANDARINO,0,261,261,2017
1081,VALENCIA,46019,ALCÚDIA (L'),20,LA RIBERA ALTA,CITRICOS,1105,POMELO,0,3,3,2017
1082,VALENCIA,46019,ALCÚDIA (L'),20,LA RIBERA ALTA,FRUTALES,1206,ALBARICOQUERO,0,38,38,2017
